Area_Name,No_of_street_light,Type_Area,No_of_men,No_of_women,Women_safety_ratio,Safe_or_unsafe,range
Bedi Road,142,Urban,3426,4130,0.12,Safe,5186149
Ghogha Circle,59,Urban,8260,933,0.52,Safe,4821138
Ghanshyam Nagar,67,Rural,117,6300,0.22,Safe,692117
Bodakdev,18,Rural,6760,2855,0.11,Safe,9506231
Vadtal,60,Suburban,9416,2243,0.22,Unsafe,4542043
Old NH-8,98,Suburban,6788,9755,0.12,Safe,6032036
Kalawad Road,113,Suburban,4279,2428,0.83,Safe,6835847
Sector 26,84,Rural,6208,1083,0.56,Unsafe,8010840
Chitra,14,Urban,1750,9552,0.32,Safe,3103967
Upperkot,3,Suburban,7182,2651,0.53,Safe,7619572
Kalawad Road,13,Suburban,6960,6527,0.56,Safe,5814368
Zadeshwar,184,Suburban,2119,3583,0.81,Unsafe,2252131
Sector 17,28,Rural,2107,3540,0.15,Safe,3861021
Gotri,94,Urban,1604,3285,0.28,Unsafe,9717453
Vesu,115,Urban,8339,8135,0.32,Safe,152163
Bhatar,114,Urban,179,1955,0.55,Unsafe,6796779
Jambusar,80,Rural,4459,3441,0.55,Unsafe,9007138
Park Colony,132,Suburban,4900,3985,0.53,Safe,230049
Upperkot,138,Suburban,4834,2867,0.53,Unsafe,2263167
Thaltej,53,Urban,1897,5274,0.33,Unsafe,8423829
Bodakdev,130,Rural,6463,1260,0.09,Safe,9534736
Vallabh Nagar,1,Rural,3264,6791,0.37,Unsafe,615588
Subhash Nagar,89,Suburban,1613,7212,0.15,Unsafe,9040207
Jambusar,146,Suburban,7562,9281,0.51,Safe,8762001
Bhayani Ni Waadi,134,Rural,9483,281,0.24,Safe,278935
Udhna,71,Suburban,2288,3255,0.26,Safe,3565560
Akota,130,Urban,4744,4030,0.64,Safe,1978952
Varachha,197,Suburban,2702,4847,0.08,Safe,5336333
Sector 17,195,Urban,7459,9647,0.89,Unsafe,4978496
Maninagar,141,Suburban,8805,9421,0.47,Unsafe,3096020
Zadeshwar,27,Suburban,8425,4741,0.93,Safe,8542587
Varachha,13,Suburban,8396,4273,0.54,Unsafe,1820980
Alkapuri,124,Suburban,9192,1840,0.09,Safe,3941419
University Road,89,Urban,5151,4442,0.45,Unsafe,9319370
Khambhat,189,Urban,1598,5864,0.37,Unsafe,3347655
Kalanala,163,Urban,3618,2170,0.07,Safe,2765302
Sector 28,47,Suburban,7230,2983,0.41,Unsafe,7462102
Gotri,76,Rural,5065,3538,0.08,Safe,3935050
Upperkot,106,Urban,4280,7093,0.67,Unsafe,8786195
Patel Colony,170,Urban,9051,6015,0.5,Safe,8886453
Joshipura,90,Urban,7342,2960,0.33,Safe,8283956
Satellite,18,Rural,6508,8434,0.39,Unsafe,7156554
Jhagadia,159,Urban,197,106,0.97,Safe,471011
Bedi Road,146,Urban,493,9527,0.81,Safe,4030398
Chandkheda,117,Rural,9640,8660,0.92,Unsafe,1921097
Vastrapur,182,Rural,6380,5310,0.8,Safe,2072144
Waghodia Road,72,Urban,6138,6477,0.33,Unsafe,8896304
Sector 26,42,Rural,3854,3167,0.57,Unsafe,2683950
Maninagar,66,Rural,4796,3479,0.28,Unsafe,9527010
Amod,57,Suburban,2645,2226,0.71,Unsafe,538755
Gotri,177,Urban,2166,4182,0.42,Unsafe,1186972
Ghogha Road,24,Urban,2660,7948,0.19,Unsafe,6331217
Rander,160,Suburban,451,2460,0.93,Unsafe,5841259
Sama,164,Rural,6456,8848,0.53,Unsafe,6340136
Vesu,11,Rural,805,7751,0.16,Safe,5715411
Bhakti Nagar,43,Suburban,6809,3806,0.8,Safe,5668681
Sector 28,32,Rural,2206,2805,0.7,Safe,4735548
Piplod,37,Urban,3407,4556,0.64,Unsafe,8963203
Nirmal Nagar,157,Urban,3640,5595,0.17,Safe,4210759
Alka Society,16,Rural,4176,6058,0.45,Safe,9447383
Ankleshwar GIDC,192,Urban,5597,5141,0.44,Unsafe,1644786
Amod,148,Suburban,4672,1932,0.75,Unsafe,7325843
Ghogha Road,55,Urban,4162,1761,0.64,Unsafe,2050951
K V Road,165,Urban,4863,4763,0.73,Safe,7227490
Sector 29,25,Suburban,5733,3492,0.94,Safe,6895703
Sector 25,40,Rural,468,9325,0.5,Safe,6246203
Upperkot,68,Suburban,550,1572,0.05,Unsafe,1719099
Gotri,90,Suburban,3910,9907,0.47,Safe,6577311
Joshipura,175,Urban,3678,862,0.67,Safe,8781323
Sayajigunj,15,Urban,4516,2426,0.06,Unsafe,1228597
Bedi Road,29,Rural,1908,1676,0.68,Unsafe,1599567
Rajkot Raiya Road,111,Urban,8327,9610,1.0,Unsafe,2714750
University Road,165,Urban,1873,2904,0.51,Unsafe,6579261
Sayajigunj,52,Suburban,5152,6454,0.57,Safe,1469366
Ghanshyam Nagar,78,Rural,7128,2714,0.85,Unsafe,4364411
Kalavad Road,58,Rural,1123,251,0.03,Safe,686638
Ghogha Circle,138,Rural,980,4291,0.28,Safe,9157578
Ranjit Sagar Road,190,Suburban,6687,6637,0.04,Safe,9494574
Bhutkhana Chowk,72,Rural,875,4517,0.75,Safe,6231372
Kalanala,103,Urban,8342,1555,0.59,Safe,9751283
Tarsali,1,Rural,8638,7543,0.24,Unsafe,4947003
Malaviya Nagar,111,Suburban,5067,4673,0.54,Unsafe,295275
K V Road,48,Urban,5406,5660,0.52,Unsafe,6601361
Sayajigunj,54,Suburban,8596,7736,0.52,Safe,467052
Sayajigunj,49,Rural,9441,8773,0.14,Unsafe,8166625
Kalanala,131,Suburban,4226,5633,0.02,Unsafe,3278949
Race Course,4,Suburban,5218,9454,0.05,Safe,6831403
Talav Gate,128,Urban,8347,2478,0.9,Safe,2770105
Gotri,121,Urban,7330,6232,0.84,Safe,4148204
Bhavnath,10,Urban,7941,1675,0.24,Safe,8334172
Chandkheda,138,Urban,7626,8572,0.1,Unsafe,4326026
Mavdi,54,Rural,7813,2539,0.13,Safe,3185223
Kalwa Chowk,190,Rural,2215,8256,0.96,Unsafe,6147640
Sector 25,106,Rural,9663,3003,0.6,Safe,9329147
Rander,11,Urban,3277,6623,0.34,Unsafe,501066
Sector 17,101,Rural,9360,6966,0.94,Safe,6613131
Bhalej,189,Suburban,4982,9615,0.53,Unsafe,7425575
Bhatar,71,Urban,9729,6971,0.67,Unsafe,9389387
Sector 30,17,Suburban,6816,3388,0.09,Unsafe,3145296
Upperkot,140,Rural,6131,7055,0.24,Safe,6863663
Rander,198,Suburban,7286,376,0.39,Safe,2672878
University Road,174,Rural,4090,4120,0.85,Unsafe,2112251
Kalwa Chowk,17,Suburban,4311,4709,0.69,Safe,9280069
Air Force Area,126,Rural,2039,5651,0.27,Unsafe,6206462
Varachha,147,Urban,4021,6529,0.31,Unsafe,5973988
Kalwa Chowk,85,Urban,5202,8940,0.73,Safe,3069053
Karamsad,67,Urban,3029,6516,0.68,Unsafe,2359147
Park Colony,67,Suburban,1464,8602,0.29,Safe,6928239
Palej,164,Rural,967,7970,0.15,Unsafe,6059064
P N Marg,88,Rural,6756,2582,0.16,Unsafe,8440168
Kalanala,194,Suburban,835,2716,0.25,Safe,5625850
Gotri,63,Urban,6178,9473,0.02,Safe,5103202
Waghodia Road,120,Rural,4585,6163,0.77,Safe,8255986
Air Force Area,56,Urban,2559,3412,0.84,Unsafe,2358587
Zanzarda Road,138,Suburban,2433,2493,0.79,Safe,6415700
Mavdi,151,Suburban,260,4559,0.23,Unsafe,5768866
Rander,14,Suburban,2457,6864,0.62,Unsafe,8931190
Satellite,95,Urban,3431,4901,0.98,Safe,9835725
Morbi Road,138,Suburban,3654,2354,0.6,Unsafe,8587068
Bhakti Nagar,28,Suburban,6619,1679,0.06,Safe,1322453
Palej,65,Rural,1221,3316,0.58,Unsafe,8600879
Bhutkhana Chowk,71,Suburban,4798,887,0.19,Safe,3336948
Udhna,62,Urban,8241,9784,0.57,Safe,4027014
Ranjit Sagar Road,75,Urban,7050,8738,0.21,Safe,3721413
Bhayani Ni Waadi,24,Urban,2518,3813,0.01,Unsafe,4453507
Fatehgunj,44,Urban,8066,7891,0.65,Unsafe,4132239
Kalwa Chowk,197,Suburban,941,7370,0.94,Unsafe,4955011
Athwa,160,Rural,5684,6845,0.62,Safe,5199338
Old NH-8,125,Rural,303,2468,0.81,Unsafe,6302951
Girnar Darwaza,146,Urban,9473,265,0.44,Safe,568902
Subhash Nagar,73,Rural,8211,7628,0.24,Unsafe,181957
Sector 17,117,Suburban,1245,7890,0.58,Safe,1732176
Chitra,162,Suburban,3936,3837,0.26,Safe,1283428
Gotri,36,Suburban,5565,3201,0.89,Unsafe,4429030
Chandkheda,88,Suburban,3804,922,0.01,Unsafe,1713265
Sabarmati,191,Urban,3206,790,0.19,Safe,7446062
Dumas,52,Suburban,1751,6677,0.63,Safe,9118144
Sector 17,166,Suburban,8363,2112,0.23,Unsafe,8208488
Patel Colony,196,Urban,9890,1551,0.42,Safe,5813629
Sector 26,103,Suburban,8968,8141,0.08,Safe,1709723
Thaltej,165,Urban,6289,8637,0.94,Safe,5612708
Dhoraji Road,24,Rural,7719,5461,0.31,Safe,4556193
Khambhat,124,Suburban,1971,667,0.93,Safe,5862286
Amin Marg,142,Rural,7814,5184,0.81,Unsafe,9231994
Gondal Road,137,Urban,5480,8726,0.2,Safe,1790371
Palej,94,Rural,6609,5639,0.7,Safe,8617127
Sector 29,158,Suburban,6428,5309,0.8,Safe,7285807
Karelibaug,19,Suburban,9972,9675,0.17,Unsafe,7612669
Gotri,115,Suburban,5467,8061,0.96,Safe,6005294
Boriavi,29,Urban,7344,47,0.7,Safe,7243733
Naranpura,179,Urban,5540,5688,0.4,Safe,5284604
Palej,142,Suburban,9743,3576,0.01,Safe,2226688
Zanzarda Road,7,Suburban,3465,1955,0.94,Unsafe,941715
Joshipura,185,Suburban,1976,5889,0.66,Safe,2550673
Bharuch Narmada Road,145,Rural,1659,6196,0.93,Unsafe,7307120
Ghogha Road,18,Rural,458,6916,0.19,Safe,7536799
Kalawad Road,117,Urban,9576,7186,0.85,Safe,895167
Ghatlodia,54,Suburban,7469,1025,0.94,Safe,1131935
Chitra,56,Urban,2878,8317,0.89,Unsafe,4075174
Subhash Nagar,42,Suburban,5775,5663,0.5,Unsafe,7696861
Amin Marg,182,Urban,7774,9886,0.0,Safe,7854142
Chitra,95,Suburban,2879,7474,0.91,Safe,6030056
Akota,73,Suburban,4339,5862,0.45,Unsafe,2757526
Sector 30,164,Urban,8801,27,0.76,Safe,4290744
Upperkot,37,Rural,8736,7219,0.54,Safe,9212763
Bhayani Ni Waadi,20,Rural,1532,9842,0.42,Safe,2732662
Malaviya Nagar,122,Suburban,4058,4254,0.68,Unsafe,7788073
Kalavad Road,152,Rural,2313,9915,0.19,Safe,5970630
Dahej,198,Rural,7939,5112,0.37,Safe,8716720
Jhagadia,65,Urban,7895,8094,0.95,Unsafe,7298035
Ghanshyam Nagar,35,Suburban,6093,9803,0.54,Unsafe,6522950
Gotri,182,Urban,4501,4635,0.26,Unsafe,2279712
Kalanala,127,Suburban,2564,4420,0.77,Unsafe,991168
Karelibaug,172,Rural,1491,27,0.44,Safe,2194773
Dhoraji Road,53,Suburban,1803,4556,0.17,Safe,6101989
Kalawad Road,77,Suburban,2801,9331,0.87,Safe,5340408
P N Marg,198,Suburban,489,2009,0.18,Unsafe,4568603
Subhash Nagar,160,Suburban,9784,71,0.44,Safe,941678
Varachha,101,Urban,4798,680,0.88,Unsafe,9991699
Chitra,22,Rural,9585,1065,0.25,Unsafe,5137189
Lambhvel,140,Suburban,8556,1100,0.93,Unsafe,5198221
Vadtal,51,Rural,8553,5601,0.84,Safe,6401830
Vesu,183,Suburban,4077,4481,0.44,Safe,1533320
Kalanala,157,Rural,3585,6626,0.47,Unsafe,828376
Mavdi,41,Suburban,82,7542,0.75,Unsafe,4954400
Thaltej,154,Suburban,8743,7091,0.48,Safe,225688
Ghanshyam Nagar,84,Urban,2876,8957,0.45,Safe,2648912
Bedi Road,79,Urban,8124,9652,0.86,Unsafe,5974869
Morbi Road,88,Suburban,6545,5706,0.08,Unsafe,6780222
Akota,106,Rural,6208,7577,0.75,Safe,8174836
Gondal Road,30,Urban,4735,3810,0.91,Safe,3268122
Patel Colony,93,Urban,8219,5899,0.83,Unsafe,8521458
Piplod,18,Suburban,5674,5317,0.52,Safe,188521
Joshipura,84,Rural,560,2911,0.99,Unsafe,2068329
Waghodia Road,105,Rural,3548,5599,0.4,Unsafe,4987031
Bhatar,80,Suburban,6621,8313,0.48,Unsafe,4706343
Ranjit Sagar Road,13,Urban,3319,1658,0.56,Unsafe,2805099
Bharuch Narmada Road,170,Urban,9215,5244,0.84,Safe,5622577
Jhagadia,130,Suburban,5353,3596,0.52,Unsafe,8730270
Karelibaug,82,Rural,2280,4313,0.67,Safe,9327032
Vallabh Vidyanagar,65,Urban,7670,2777,0.61,Safe,8022792
Mavdi,37,Urban,3987,2772,0.71,Safe,8299333
Sector 29,117,Urban,8307,9413,0.31,Safe,9108045
Bodakdev,198,Rural,4794,8408,0.57,Safe,8903283
Athwa,63,Urban,5630,535,0.56,Safe,4118340
Udhna,104,Suburban,9455,1722,0.07,Safe,2378236
Girnar Darwaza,66,Suburban,5393,674,0.77,Safe,7780011
Jambusar,99,Urban,7009,1787,0.69,Safe,6620310
Borsad,115,Urban,8308,9027,0.47,Safe,5001338
Joshipura,175,Rural,8643,5350,0.44,Unsafe,4616072
Bedi Road,50,Rural,8087,9725,0.76,Unsafe,7866477
Bhatar,173,Urban,9578,3966,0.34,Unsafe,2992768
Vallabh Nagar,31,Urban,5960,3916,0.2,Safe,2497460
Boriavi,91,Urban,3889,2422,0.94,Unsafe,394312
Sector 25,198,Rural,176,411,0.11,Unsafe,7621643
Tarsali,107,Suburban,947,5392,0.69,Unsafe,9651916
Bedi Road,131,Suburban,3187,7819,0.39,Unsafe,4013757
Alka Society,128,Urban,7172,7800,0.48,Unsafe,6519407
Bhavnath,19,Urban,7340,8073,0.48,Unsafe,8010424
Bhavnath,138,Urban,1698,5120,0.35,Safe,6823976
Rajkot Raiya Road,90,Rural,4754,4304,0.57,Safe,8321086
Dahej,163,Rural,6838,3405,0.24,Unsafe,780325
Amin Marg,31,Suburban,3095,9609,0.73,Safe,1328704
Old NH-8,149,Urban,7637,1916,0.54,Safe,6103254
Bhatar,44,Urban,4860,2895,0.05,Safe,3134088
Udhna,155,Rural,2034,4447,0.37,Unsafe,7064524
Ghogha Circle,99,Suburban,8331,8947,0.64,Safe,8178896
Mavdi,164,Suburban,334,7239,0.06,Safe,2808019
Lambhvel,15,Suburban,3885,9071,0.42,Safe,3791340
K V Road,176,Urban,3169,3108,0.73,Unsafe,8763801
Sarkhej,36,Suburban,686,9069,0.15,Unsafe,1617615
Girnar Darwaza,163,Suburban,6965,3082,0.65,Safe,3728472
Rander,147,Suburban,761,2462,0.62,Safe,8491333
Bhakti Nagar,164,Urban,5104,4197,0.56,Safe,9517247
Sector 24,200,Suburban,784,5841,0.04,Safe,2853197
University Road,148,Suburban,3125,6590,0.42,Unsafe,9495003
Lambhvel,186,Suburban,1611,9592,0.26,Unsafe,5144978
Dhoraji Road,7,Rural,5623,178,0.96,Safe,3336473
Old NH-8,34,Urban,1737,8171,0.78,Unsafe,7907968
Piplod,36,Urban,5438,3835,0.13,Safe,7271276
Bhayani Ni Waadi,139,Urban,6267,8319,0.0,Safe,8961757
Ghanshyam Nagar,115,Rural,6851,4723,0.12,Safe,760465
Rajkot Raiya Road,165,Suburban,6207,6849,0.57,Safe,2305897
Gondal Road,24,Urban,7548,334,0.53,Safe,192952
Ghanshyam Nagar,142,Urban,3182,7715,0.32,Safe,7881779
Vidyanagar,82,Suburban,5871,7687,0.96,Safe,9286752
Bhutkhana Chowk,0,Urban,4234,3905,0.56,Safe,6091567
Sector 25,136,Suburban,872,1232,0.95,Unsafe,2346552
Old NH-8,42,Rural,5444,3656,0.14,Safe,1589644
Jhagadia,190,Rural,4269,9702,0.81,Unsafe,1879801
Mavdi,33,Rural,5372,1811,0.23,Unsafe,7237504
Bhavnath,47,Urban,4736,5382,0.2,Unsafe,7421739
Piplod,21,Rural,2039,1038,0.26,Unsafe,4085971
Waghodia Road,178,Urban,1767,2671,0.8,Safe,3561987
Joshipura,95,Rural,9279,2196,0.23,Unsafe,9068501
Sector 23,134,Suburban,8428,8020,0.76,Safe,1413610
Dumas,184,Suburban,4547,9704,0.06,Safe,4126117
Thaltej,193,Suburban,9195,2225,0.74,Unsafe,3446353
Palej,132,Urban,9650,1961,0.45,Unsafe,175254
Sector 29,20,Rural,5460,2241,0.69,Safe,5654078
Vadtal,112,Suburban,1872,9447,0.2,Unsafe,265548
Amod,167,Rural,4793,4857,0.3,Safe,9441622
Air Force Area,4,Suburban,6870,6016,0.35,Unsafe,3747541
Talav Gate,129,Rural,7497,2173,0.77,Unsafe,9628782
Ghogha Circle,168,Rural,66,8065,0.69,Safe,8160404
Vesu,159,Suburban,8987,1112,0.92,Unsafe,3094537
Sector 24,124,Urban,6501,790,0.03,Safe,687584
Bhatar,73,Urban,5691,959,0.61,Unsafe,1128071
Borsad,80,Suburban,1996,9272,0.03,Unsafe,2143808
Bhutkhana Chowk,48,Suburban,5171,8032,0.37,Safe,3333495
Bhayani Ni Waadi,75,Urban,216,5839,0.77,Unsafe,3518132
Bedi Road,59,Suburban,4837,4407,0.18,Unsafe,3215775
Dahej,101,Urban,7529,3159,0.19,Unsafe,4969824
Vallabh Vidyanagar,174,Rural,131,766,0.41,Unsafe,7555186
Varachha,170,Urban,4011,7889,0.94,Safe,4152597
University Road,162,Urban,8372,1956,0.69,Safe,183520
Zanzarda Road,133,Rural,7460,6665,0.13,Unsafe,2921852
Akota,23,Rural,4348,6576,0.65,Unsafe,2772971
Patel Colony,80,Urban,3575,9905,0.59,Unsafe,3972400
Tarsali,48,Rural,4907,2218,0.91,Safe,698987
Bhakti Nagar,101,Urban,2703,534,0.86,Unsafe,5572292
Patel Colony,55,Urban,5812,2718,0.56,Unsafe,1818964
Khambhat,176,Suburban,3559,1107,0.33,Safe,1881340
Girnar Darwaza,146,Suburban,3575,6375,0.81,Unsafe,9398705
Kalwa Chowk,89,Urban,1530,6265,0.12,Safe,8145059
Amod,154,Urban,9684,4777,0.16,Safe,3272246
Akota,159,Urban,399,5314,0.72,Unsafe,3633190
Joshipura,121,Urban,3915,5839,0.08,Unsafe,9968728
Dahej,88,Rural,7361,4189,0.13,Safe,7702360
Dhoraji Road,34,Suburban,3909,6320,0.26,Unsafe,482086
Vallabh Nagar,176,Suburban,1151,2606,0.26,Unsafe,6117566
Borsad,62,Rural,2133,4055,0.78,Safe,6229954
Karelibaug,79,Suburban,9360,129,0.44,Safe,3510874
Joshipura,191,Urban,4726,610,0.77,Unsafe,2725220
Sector 26,69,Rural,6346,8423,0.71,Safe,9493877
Bhutkhana Chowk,142,Urban,2432,5007,0.96,Unsafe,3853962
Race Course,95,Urban,2420,9718,0.6,Unsafe,9873963
Vadtal,18,Urban,6060,7695,0.52,Safe,1644101
Vesu,152,Suburban,3956,8027,0.75,Safe,2173841
Bhutkhana Chowk,130,Suburban,7028,7096,0.92,Unsafe,9706625
Sector 29,142,Rural,3069,7702,0.59,Unsafe,4499713
Sayajigunj,173,Urban,2307,6648,0.5,Safe,5488580
Sector 16,81,Urban,875,5216,0.34,Unsafe,4593650
Zanzarda Road,43,Urban,8030,2471,0.93,Safe,8978298
Alka Society,117,Rural,9187,1611,0.23,Safe,6415152
Kalwa Chowk,126,Suburban,4964,2327,0.13,Unsafe,8967920
Sabarmati,49,Rural,9554,1738,0.12,Unsafe,1183444
Bhakti Nagar,174,Urban,5881,9409,0.85,Safe,5347372
Bhavnath,128,Suburban,4031,6641,0.29,Safe,3596588
Ghatlodia,148,Urban,8954,9639,0.69,Unsafe,4078432
Vallabh Nagar,36,Urban,7578,1832,0.15,Safe,3005018
Karelibaug,52,Rural,7392,7549,0.17,Unsafe,3269696
K V Road,16,Rural,675,8156,0.69,Safe,6590419
Race Course,38,Rural,7013,991,0.33,Unsafe,5109449
Old NH-8,39,Rural,6008,534,0.16,Unsafe,3527805
Sector 24,70,Urban,695,9958,0.83,Unsafe,7238243
Sector 16,21,Urban,5260,3286,0.62,Safe,8596452
Bhakti Nagar,81,Suburban,8909,339,0.79,Safe,5148506
Vastrapur,19,Suburban,1182,1118,0.48,Unsafe,5081760
Gotri,157,Rural,5464,243,0.19,Safe,3175002
Sector 30,50,Suburban,3485,6455,0.43,Unsafe,4944353
Sector 28,9,Rural,7029,2362,0.79,Safe,1249652
Talav Gate,54,Rural,8578,8604,0.11,Safe,1119641
Subhash Nagar,131,Urban,6576,2653,0.01,Safe,5557763
Vidyanagar,60,Suburban,7078,8946,0.49,Unsafe,8726202
Dahej,108,Rural,7281,5463,0.11,Unsafe,1161169
Piplod,92,Suburban,3126,8143,0.63,Safe,383092
Tarsali,46,Urban,3369,3136,0.41,Unsafe,9022815
Karelibaug,85,Urban,6712,1683,0.53,Unsafe,2757835
Piplod,169,Suburban,7466,4960,0.84,Safe,5731225
Khambhat,185,Suburban,9688,4712,0.65,Unsafe,836012
Ghanshyam Nagar,173,Rural,7049,2463,0.16,Safe,9174838
Zadeshwar,64,Suburban,9956,2395,0.45,Unsafe,9268947
Khambhat,38,Rural,7948,70,0.17,Unsafe,8565326
Alkapuri,136,Rural,8469,3760,0.4,Safe,6154547
Karelibaug,75,Urban,3836,3281,0.76,Safe,7271548
Khambhat,17,Urban,1339,3131,0.41,Unsafe,1412213
Khambhat,143,Urban,8607,2253,0.37,Unsafe,4506516
Alka Society,17,Suburban,2372,7591,0.06,Safe,4661147
Maninagar,112,Rural,5075,4902,0.62,Unsafe,779492
Sector 21,12,Rural,5283,2094,0.89,Safe,580551
Gotri,114,Urban,4468,5710,0.58,Unsafe,4271027
Race Course,151,Rural,5734,558,0.54,Safe,7443102
Vastrapur,142,Suburban,670,9811,0.14,Safe,3969932
Subhanpura,151,Urban,3456,6665,0.07,Unsafe,5401438
Patel Colony,123,Suburban,4637,1898,0.14,Unsafe,9170756
Satellite,144,Suburban,9036,1179,0.73,Unsafe,8965293
Sector 21,54,Rural,2255,8635,0.45,Unsafe,4709592
Ghatlodia,78,Urban,8770,3575,0.53,Safe,8630991
Kalavad Road,6,Rural,2162,4102,0.62,Safe,2017960
Udhna,195,Rural,1966,5674,0.03,Safe,8385831
Sector 23,4,Urban,9897,9779,0.85,Unsafe,2056548
Race Course,108,Rural,3057,2184,0.88,Safe,3822624
Ghogha Circle,24,Urban,9925,6992,0.98,Unsafe,9270202
Pal,196,Suburban,9618,9446,0.54,Unsafe,7622237
Bharuch Narmada Road,163,Urban,7278,7986,0.92,Safe,6347734
Amin Marg,152,Urban,3024,8748,0.27,Safe,1207817
Piplod,0,Suburban,3556,6945,0.21,Unsafe,2715640
Jambusar,141,Suburban,803,1313,0.63,Unsafe,9838738
Kalwa Chowk,118,Rural,752,8340,0.1,Unsafe,9209920
Maninagar,56,Urban,189,7668,0.83,Safe,2210071
Bhutkhana Chowk,56,Suburban,5285,6763,0.62,Unsafe,4547244
Gondal Road,2,Rural,256,1683,0.45,Unsafe,1728686
Borsad,50,Rural,4897,3745,0.88,Safe,5413750
Bedi Road,56,Suburban,34,8846,0.55,Unsafe,2272933
Satellite,68,Urban,5236,2018,0.9,Unsafe,8577203
Kalanala,84,Urban,6609,2990,0.58,Unsafe,8200480
Kalawad Road,109,Suburban,1933,7034,0.97,Safe,639973
Sector 30,68,Urban,492,6845,0.79,Safe,5976606
Vastrapur,176,Rural,5140,7326,0.65,Unsafe,2490719
Udhna,66,Urban,4036,2567,0.79,Safe,4023887
Karelibaug,139,Rural,5914,1125,0.36,Safe,6447271
Vallabh Vidyanagar,93,Suburban,7073,5035,0.28,Safe,6836274
Joshipura,73,Rural,1856,1265,0.2,Safe,6127174
P N Marg,14,Suburban,5355,3750,0.94,Safe,6852871
Ankleshwar GIDC,131,Urban,9715,4323,0.82,Unsafe,9137190
Rajkot Raiya Road,165,Suburban,4490,2503,0.01,Unsafe,8160836
Bhayani Ni Waadi,131,Suburban,6783,221,0.55,Safe,141814
Kalavad Road,187,Suburban,3718,2543,0.73,Safe,2372644
Zadeshwar,194,Rural,4879,460,0.44,Safe,9548559
Vesu,116,Urban,5416,4578,0.7,Safe,6837646
Vesu,3,Urban,6032,2219,0.83,Unsafe,2656824
Ghogha Circle,136,Rural,5669,5302,0.52,Safe,9793811
Satellite,57,Suburban,698,2680,0.15,Unsafe,8583146
Bhayani Ni Waadi,11,Rural,4788,5714,0.25,Unsafe,2709608
Subhash Nagar,196,Rural,1622,69,0.36,Safe,8177528
Race Course,81,Rural,7662,3077,0.56,Safe,1060205
Akota,99,Suburban,3750,5714,0.9,Unsafe,7557943
Bhutkhana Chowk,154,Suburban,4374,90,0.52,Unsafe,3888737
Ankleshwar GIDC,54,Rural,4017,1179,0.8,Unsafe,7097125
University Road,139,Urban,3195,4210,0.68,Safe,788981
Lambhvel,200,Suburban,101,129,0.28,Safe,694040
Varachha,51,Urban,726,1927,0.39,Safe,3774649
Jambusar,44,Suburban,2513,4870,0.91,Safe,3751627
Sector 23,11,Rural,9732,9718,0.34,Unsafe,180103
Ghanshyam Nagar,177,Suburban,9387,3981,0.55,Unsafe,210454
Alkapuri,189,Rural,5857,4194,0.89,Unsafe,7776128
Vadtal,0,Suburban,7098,4663,0.97,Unsafe,8346863
Sector 21,48,Urban,422,3465,0.59,Unsafe,5150739
Subhanpura,169,Rural,6775,3758,0.77,Unsafe,4182341
Morbi Road,105,Suburban,67,4611,0.44,Unsafe,1663108
Sector 26,124,Rural,777,9785,0.09,Safe,9569537
Old NH-8,39,Urban,2336,7566,0.1,Unsafe,7387469
Air Force Area,109,Urban,1358,2908,0.58,Safe,2397042
Jhagadia,77,Rural,4648,2743,0.17,Safe,2317861
Tarsali,95,Urban,4213,1919,0.74,Unsafe,1547698
Sector 16,28,Suburban,4776,6000,0.56,Unsafe,6534333
Sector 26,173,Suburban,1573,1617,0.59,Unsafe,103887
Vallabh Vidyanagar,110,Urban,4304,134,0.26,Unsafe,5255563
Dhoraji Road,115,Suburban,1673,5610,0.5,Safe,8558161
Borsad,61,Suburban,298,8683,0.03,Unsafe,1457348
P N Marg,47,Suburban,4082,4265,0.13,Unsafe,8743567
Vesu,26,Suburban,3263,3236,0.29,Unsafe,6590283
K V Road,46,Urban,3850,6023,0.17,Unsafe,849801
Kalwa Chowk,147,Rural,2277,4766,0.66,Safe,7249230
Sector 23,4,Urban,7275,8289,0.46,Safe,2395060
Dhoraji Road,115,Urban,7583,7986,0.73,Safe,7147321
Vallabh Nagar,55,Urban,4316,7915,0.85,Safe,1048354
Old NH-8,9,Rural,7813,1179,0.51,Safe,7504430
Upperkot,189,Urban,5695,3224,0.7,Safe,8647246
Patel Colony,13,Suburban,1746,9566,0.31,Unsafe,6212542
Girnar Darwaza,199,Rural,8310,8243,0.4,Unsafe,5311636
Joshipura,97,Urban,4040,302,0.25,Safe,8621152
Lambhvel,199,Suburban,2223,286,0.21,Safe,1854382
Patel Colony,42,Rural,1841,4621,0.51,Unsafe,7548891
Ankleshwar GIDC,160,Suburban,1718,1931,0.2,Safe,7294681
Bhayani Ni Waadi,75,Rural,4421,1229,0.07,Safe,4011565
Sama,75,Suburban,1139,104,0.62,Unsafe,5115406
Mavdi,139,Suburban,8984,4260,0.53,Safe,4415975
Maninagar,69,Rural,305,7589,0.59,Safe,513135
Sector 25,82,Urban,7034,6798,0.9,Safe,7172507
Waghodia Road,190,Urban,9931,7095,0.09,Unsafe,1887382
Nirmal Nagar,19,Rural,3397,8066,0.69,Safe,8716674
Kalanala,130,Rural,6112,6381,0.22,Unsafe,9909156
